-2068,-16,42,0,2,-2,167,2,152
-2063,-13,40,0,2,-2,167,2,152
-2067,-17,41,0,2,-2,165,2,152
-2067,-17,40,0,2,-1,167,2,152
-2065,-16,39,0,3,-2,166,2,152
-2065,-15,39,0,4,-2,166,2,152
-2066,-15,40,-1,3,-2,165,2,152
-2066,-17,39,0,2,-2,166,2,152
-2066,-16,40,0,4,-2,165,2,152
-2068,-14,41,0,3,-3,165,2,152
-2067,-15,39,1,3,-2,165,4,152
-2065,-16,40,0,3,-1,167,4,152
-2068,-17,41,0,3,-2,164,2,152
-2067,-17,40,0,3,-1,166,2,154
-2066,-15,42,-1,3,-2,164,2,152
-2064,-15,41,0,3,-3,166,2,152
-2065,-17,39,-1,2,-2,166,2,152
-2065,-16,38,-1,2,-2,166,2,152
-2067,-16,42,0,2,-2,166,2,152
-2065,-13,39,-1,3,-3,166,2,152
-2066,-16,38,0,2,-2,165,2,152
-2066,-15,42,-1,3,-2,165,0,152
-2065,-15,40,-1,3,-2,165,2,150
-2065,-16,42,-1,3,-2,165,4,152
-2065,-16,40,0,3,-2,165,2,152
-2066,-15,42,0,3,-2,166,4,152
-2066,-17,40,0,2,-3,165,2,152
-2065,-13,40,0,3,-2,166,2,152
-2066,-17,39,0,3,-1,167,2,150
-2066,-12,41,0,3,-1,165,2,152
-2067,-14,39,0,3,-2,166,2,152
-2068,-13,39,0,2,-1,165,4,152
-2065,-15,40,0,2,-2,166,2,152
-2067,-15,40,0,2,-1,165,2,152
-2068,-14,41,0,3,-2,167,2,152
-2067,-14,40,0,3,-1,165,2,150
-2067,-15,38,0,3,-2,165,2,152
-2066,-15,40,-1,4,-2,165,4,152
-2066,-16,40,0,3,-2,165,2,152
-2064,-16,40,0,3,-2,166,2,150
-2067,-15,40,-1,3,-1,166,2,152
-2065,-16,41,0,3,-1,165,2,152
-2063,-15,39,0,3,-2,165,0,150
-2065,-16,38,0,3,-2,166,2,150
-2065,-17,38,0,3,-2,166,2,152
-2065,-15,40,-1,3,-2,167,2,150
-2066,-14,40,0,3,-1,166,2,152
